                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1003,                 4.3372,                 4.2575,                0.00263,                0.66757,                0.00861,                 0.0034,                 2.7712,                 4.4262,                 4.1526,                0.00023,                0.00023,                0.00023
                      2,                 3.0521,                 4.2945,                 4.1801,                0.00262,                0.66221,                0.01207,                0.00381,                 2.7646,                 4.4014,                 4.1194,             0.00046535,             0.00046535,             0.00046535
                      3,                 3.0462,                 4.1987,                 4.0899,                0.00261,                0.66251,                0.01557,                 0.0046,                 2.7566,                 4.3441,                 4.0216,             0.00069594,             0.00069594,             0.00069594
                      4,                 3.0045,                 4.1276,                 3.9428,                0.00295,                0.57086,                0.00791,                0.00265,                  2.825,                 4.3063,                 4.3777,             0.00092179,             0.00092179,             0.00092179
                      5,                 3.0275,                 4.0747,                 3.7836,                0.67639,                0.02712,                0.01162,                0.00335,                 2.7957,                 4.8502,                 4.0866,              0.0009604,              0.0009604,              0.0009604
                      6,                 3.0061,                 3.9769,                   3.67,                0.51122,                 0.0456,                0.01406,                0.00518,                 2.7727,                 4.9445,                 4.0046,              0.0009604,              0.0009604,              0.0009604
                      7,                  2.875,                 3.9685,                 3.5598,                0.67787,                0.07952,                0.00759,                0.00179,                 2.9972,                 8.9917,                 4.1354,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.7976,                 3.9207,                 3.4845,                0.68458,                0.04195,                0.01868,                0.00428,                 2.8895,                 4.9765,                  3.735,              0.0009406,              0.0009406,              0.0009406
                      9,                  2.782,                 3.8382,                 3.3824,                0.34184,                0.06596,                0.00646,                0.00178,                 2.9418,                  6.376,                  3.754,              0.0009307,              0.0009307,              0.0009307
                     10,                 2.7135,                 3.8174,                 3.2976,                0.68581,                0.04546,                 0.0136,                0.00382,                 2.6209,                  4.396,                  3.416,              0.0009208,              0.0009208,              0.0009208
                     11,                 2.6187,                 3.7167,                  3.198,                 0.7353,                0.04608,                 0.0498,                0.01646,                 2.4513,                 4.0182,                 3.3035,              0.0009109,              0.0009109,              0.0009109
                     12,                 2.5053,                 3.6808,                  3.154,                 0.5238,                0.03252,                0.02355,                0.00806,                 2.4049,                 4.0196,                 3.3235,               0.000901,               0.000901,               0.000901
                     13,                 2.4466,                 3.6268,                 3.1092,                 0.7027,                 0.1072,                0.05146,                0.01915,                 2.3754,                 4.2244,                 3.1636,              0.0008911,              0.0008911,              0.0008911
                     14,                 2.3642,                 3.6189,                 3.0469,                0.71824,                 0.0446,                0.05693,                0.01813,                  2.344,                 3.8626,                 3.1975,              0.0008812,              0.0008812,              0.0008812
                     15,                 2.2703,                 3.5686,                 2.9743,                0.58547,                  0.085,                0.03742,                 0.0167,                 2.2889,                 3.9727,                 3.2425,              0.0008713,              0.0008713,              0.0008713
                     16,                 2.2107,                 3.4851,                 2.9227,                0.75684,                0.08062,                 0.0619,                0.02557,                 2.2352,                 3.9133,                 3.1212,              0.0008614,              0.0008614,              0.0008614
                     17,                 2.1862,                 3.4293,                 2.8671,                0.43933,                0.12167,                0.05289,                0.01819,                  2.163,                 3.8217,                 3.0682,              0.0008515,              0.0008515,              0.0008515
                     18,                 2.1424,                 3.3998,                  2.824,                0.56799,                0.15066,                0.06883,                0.02663,                 2.0377,                 3.7691,                 2.9107,              0.0008416,              0.0008416,              0.0008416
                     19,                 2.0616,                 3.3503,                 2.7582,                0.63297,                0.04822,                0.06688,                0.03039,                  2.048,                 3.7861,                 3.0398,              0.0008317,              0.0008317,              0.0008317
                     20,                 2.0419,                 3.3241,                 2.7267,                0.37058,                0.06029,                0.03533,                0.01528,                 2.0578,                 4.2074,                 2.9098,              0.0008218,              0.0008218,              0.0008218
                     21,                 2.0108,                 3.3401,                 2.6602,                0.66039,                0.11109,                0.11588,                0.05025,                 2.0078,                 3.4227,                  2.894,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.9471,                  3.192,                 2.6108,                0.63352,                0.07735,                0.09431,                0.04238,                 1.9136,                 3.6714,                 2.8236,               0.000802,               0.000802,               0.000802
                     23,                 1.9349,                 3.1851,                 2.5999,                0.46081,                0.12321,                0.10367,                0.05235,                 1.9809,                 3.4417,                 2.8041,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.8583,                 3.0297,                  2.528,                0.42527,                0.22503,                0.12155,                0.05045,                 1.9416,                 4.3027,                 2.7545,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.8451,                 3.0157,                  2.487,                0.81915,                0.13768,                0.15912,                  0.075,                 1.8475,                 3.3626,                 2.5993,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.8129,                 3.0066,                 2.4551,                0.48617,                0.20314,                 0.1476,                 0.0726,                 1.8037,                 3.2201,                 2.5962,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.7541,                 2.9366,                 2.4193,                0.49744,                0.20683,                0.15619,                0.08193,                 1.7082,                 3.0825,                 2.5412,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.7376,                 2.9173,                 2.4255,                0.56194,                0.14505,                0.16905,                 0.0871,                 1.8088,                 2.9547,                 2.6129,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.7002,                  2.909,                 2.3712,                0.50686,                0.21743,                0.16922,                 0.0884,                 1.7085,                 2.9144,                 2.5145,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.6942,                 2.8641,                 2.3407,                0.58613,                0.19633,                0.18381,                0.09792,                 1.6882,                  3.047,                 2.5061,              0.0007228,              0.0007228,              0.0007228
                     31,                  1.654,                 2.7997,                 2.3121,                0.57493,                0.19767,                0.18698,                0.10271,                 1.6414,                 2.8233,                 2.4634,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.6589,                 2.8319,                 2.3333,                0.57609,                0.22569,                0.22864,                0.12698,                 1.6413,                 2.8276,                 2.4224,               0.000703,               0.000703,               0.000703
                     33,                 1.5491,                 2.7016,                 2.2342,                0.54556,                0.20127,                 0.1968,                0.11636,                 1.5131,                 2.7211,                  2.271,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.5817,                 2.6791,                 2.2548,                0.54715,                0.22789,                0.19658,                0.11835,                 1.6144,                 2.9015,                 2.4341,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.5756,                 2.7244,                 2.2257,                0.53145,                0.20862,                 0.2228,                 0.1343,                   1.51,                 2.6966,                 2.3021,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.5397,                 2.7352,                 2.1914,                0.48792,                0.25702,                0.25297,                0.15834,                 1.4581,                 2.6165,                 2.2371,              0.0006634,              0.0006634,              0.0006634
                     37,                  1.531,                 2.5822,                 2.1895,                0.53807,                0.25557,                0.26118,                0.15961,                 1.5112,                 2.5115,                 2.2717,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.4937,                 2.5671,                 2.1539,                0.56273,                0.24765,                0.24447,                 0.1438,                 1.4769,                 2.5696,                 2.2267,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.5178,                 2.5701,                 2.1619,                0.52838,                0.26915,                0.25493,                0.15701,                 1.4191,                 2.6647,                 2.1692,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.4917,                 2.6377,                 2.1366,                0.62719,                0.22799,                0.24938,                0.15669,                 1.4229,                 2.5273,                 2.1994,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.4768,                 2.6031,                 2.1257,                0.53393,                0.22471,                0.23042,                0.14428,                 1.4022,                 2.5343,                  2.172,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.4346,                  2.535,                  2.101,                0.40315,                0.29957,                 0.2643,                0.16951,                 1.4231,                 2.5076,                 2.1879,               0.000604,               0.000604,               0.000604
                     43,                  1.451,                 2.4588,                 2.0944,                0.74559,                0.22029,                0.28122,                0.18379,                 1.3764,                 2.4282,                 2.1503,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.4387,                 2.4438,                 2.0673,                0.59318,                 0.2521,                0.26584,                 0.1636,                 1.3977,                 2.4167,                  2.104,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.4692,                 2.4476,                 2.0883,                0.67241,                0.25788,                0.28524,                0.17565,                 1.4393,                 2.3736,                 2.1872,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.4193,                 2.4374,                 2.0625,                0.57313,                0.28858,                0.29868,                0.19229,                 1.3447,                 2.3128,                 2.0481,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.4174,                 2.4226,                 2.0456,                0.59969,                0.29504,                0.31236,                0.19826,                 1.3332,                   2.31,                 2.0289,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3911,                 2.4569,                 2.0427,                0.63317,                0.28742,                0.32349,                0.21592,                  1.339,                 2.2077,                 2.0612,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3633,                 2.3692,                 2.0013,                0.65034,                0.29169,                0.32494,                0.22025,                 1.2865,                 2.2124,                 2.0068,              0.0005347,              0.0005347,              0.0005347
